ensg	ensp	name
ENSMUSG00000032267	ENSMUSP00000047467 	Usp28
ENSMUSG00000042211	ENSMUSP00000047541 	Fbxo38
ENSMUSG00000033368	ENSMUSP00000047627 	Trim69
ENSMUSG00000054611	ENSMUSP00000047683 	Kdm2a
ENSMUSG00000032656	ENSMUSP00000047946 	March3
ENSMUSG00000040455	ENSMUSP00000048324 	Usp45
ENSMUSG00000042744	ENSMUSP00000048345 	Gm15800
ENSMUSG00000038695	ENSMUSP00000048415 	Josd2
ENSMUSG00000038187	ENSMUSP00000048530 	Btbd10
ENSMUSG00000025738	ENSMUSP00000048562 	Fbxl16
ENSMUSG00000042350	ENSMUSP00000048780 	1110018G07Rik
ENSMUSG00000039911	ENSMUSP00000048969 	Spsb1
ENSMUSG00000021301	ENSMUSP00000048972 	Hecw1
ENSMUSG00000018548	ENSMUSP00000049057 	Trim37
ENSMUSG00000038545	ENSMUSP00000049128 	Cul7
ENSMUSG00000034377	ENSMUSP00000049248 	Tulp4
ENSMUSG00000036503	ENSMUSP00000049331 	Rnf13
ENSMUSG00000030779	ENSMUSP00000049528 	Rbbp6
ENSMUSG00000027993	ENSMUSP00000049902 	Trim2
ENSMUSG00000048047	ENSMUSP00000049983 	Zbtb33
ENSMUSG00000060441	ENSMUSP00000050084 	Trim5
ENSMUSG00000047496	ENSMUSP00000050103 	Rnf152
ENSMUSG00000025893	ENSMUSP00000050183 	Kbtbd3
ENSMUSG00000042155	ENSMUSP00000050219 	Klhl23
ENSMUSG00000031651	ENSMUSP00000050267 	Triml1
ENSMUSG00000048234	ENSMUSP00000050388 	Rnf149
ENSMUSG00000047959	ENSMUSP00000050680 	Kcna3
ENSMUSG00000020453	ENSMUSP00000050684 	Patz1
ENSMUSG00000051648	ENSMUSP00000050687 	Kctd19
ENSMUSG00000045210	ENSMUSP00000051248 	Vcpip1
ENSMUSG00000044952	ENSMUSP00000051316 	Kctd21
